"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Response rate,Footnote for response rate,Footnote Number
059680,Not Available,9,Not Available,9,100,9,Not Available,9,100,9,Not Available,9,78,9,Not Available,9,100,9,100,9,1,9,13,9,9
059681,Not Available,11,Not Available,11,82,11,Not Available,11,80,11,Not Available,11,70,11,Not Available,11,73,11,58,11,31,11,21,11,11
059682,3,11,3,11,86,11,3,11,80,11,3,11,81,11,4,11,92,11,60,11,44,11,12,11,11
059683,2,,3,,87,,2,,83,,1,,68,,2,,78,,69,,194,,20,,
059684,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059685,2,,3,,86,,2,,77,,2,,76,,2,,76,,77,,84,,16,,
059686,2,,2,,81,,2,,77,,2,,76,,2,,77,,66,,83,,17,,
059688,Not Available,11,Not Available,11,79,11,Not Available,11,74,11,Not Available,11,68,11,Not Available,11,83,11,53,11,26,11,22,11,11
059689,Not Available,9,Not Available,9,99,9,Not Available,9,92,9,Not Available,9,68,9,Not Available,9,75,9,91,9,9,9,29,9,9
059690,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059691,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059692,Not Available,11,Not Available,11,77,11,Not Available,11,78,11,Not Available,11,72,11,Not Available,11,75,11,77,11,36,11,14,11,11
059693,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059694,Not Available,11,Not Available,11,100,11,Not Available,11,97,11,Not Available,11,98,11,Not Available,11,100,11,100,11,17,11,10,11,11
059695,3,,4,,88,,4,,89,,2,,76,,2,,82,,80,,214,,20,,
059696,Not Available,11,Not Available,11,76,11,Not Available,11,67,11,Not Available,11,76,11,Not Available,11,78,11,83,11,20,11,23,11,11
059697,3,11,4,11,88,11,2,11,83,11,2,11,78,11,2,11,80,11,80,11,57,11,20,11,11
059698,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059699,Not Available,11,Not Available,11,92,11,Not Available,11,90,11,Not Available,11,90,11,Not Available,11,90,11,87,11,35,11,13,11,11
059700,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059701,Not Available,11,Not Available,11,78,11,Not Available,11,76,11,Not Available,11,81,11,Not Available,11,68,11,60,11,18,11,22,11,11
059703,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059704,Not Available,11,Not Available,11,80,11,Not Available,11,74,11,Not Available,11,68,11,Not Available,11,94,11,85,11,12,11,13,11,11
059705,1,11,1,11,78,11,1,11,77,11,1,11,69,11,1,11,75,11,68,11,61,11,16,11,11
059706,4,,5,,91,,4,,86,,2,,76,,3,,83,,83,,84,,25,,
059707,4,,5,,91,,3,,85,,3,,83,,4,,87,,81,,200,,17,,
059708,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059709,Not Available,11,Not Available,11,96,11,Not Available,11,94,11,Not Available,11,89,11,Not Available,11,94,11,92,11,38,11,29,11,11
059710,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059711,Not Available,11,Not Available,11,78,11,Not Available,11,82,11,Not Available,11,72,11,Not Available,11,63,11,62,11,14,11,22,11,11
059712,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059713,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059714,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
059715,Not Available,9,Not Available,9,54,9,Not Available,9,62,9,Not Available,9,86,9,Not Available,9,91,9,42,9,3,9,16,9,9
059716,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
